C/A,UNIT,STATION,LINENAME,DIVISION,LATITUDE,LONGITUDE,STREET,CITY,STATE,COUNTY,ZIP
R470,X002,ELTINGVILLE PK,Z,SRT,40.5446,-74.164581,Eltingville Blvd,Staten Island,NY,Richmond County,10312
R544,PTH02,HARRISON,1,PTH,40.738879,-74.155533,Co Rd 697,Harrison,NJ,Hudson County,7029
R165,S102,TOMPKINSVILLE,1,SRT,40.636948,-74.074824,Minthorne St,Staten Island,NY,Richmond County,10301
R070,S101,ST. GEORGE,1,SRT,40.643738,-74.073622,Richmond Ter,Staten Island,NY,Richmond County,10301
R070,S101A,JOURNAL SQUARE,1,SRT,40.643738,-74.073622,Richmond Ter,Staten Island,NY,Richmond County,10301
R552,PTH03,GROVE STREET,1,PTH,40.732102,-74.063915,Journal Concourse Sq W,Jersey City,NJ,Hudson County,7306
R551,PTH04,EXCHANGE PLACE,1,PTH,40.719876,-74.042616,Co Rd 639,Jersey City,NJ,Hudson County,7302
R543,PTH05,BAY RIDGE-95 ST,1,PTH,40.716737,-74.033024,Christopher Columbus Dr,Jersey City,NJ,Hudson County,7302
R216,C027,86 ST,R,BMT,40.616624,-74.030964,4th Ave,Brooklyn,NY,Kings County,11209
R216,C028,77 ST,R,BMT,40.616624,-74.030964,4th Ave,Brooklyn,NY,Kings County,11209
R215,C025,BAY RIDGE AV,R,BMT,40.622715,-74.028368,4th Ave,Brooklyn,NY,Kings County,11209
R215,C026,59 ST,R,BMT,40.622715,-74.028368,4th Ave,Brooklyn,NY,Kings County,11209
R214,C024,BOWLING GREEN,R,BMT,40.629702,-74.025514,4th Ave,Brooklyn,NY,Kings County,11209
R213,C023,53 ST,R,BMT,40.634945,-74.023411,4th Ave,Brooklyn,NY,Kings County,11220
R212,C021,RECTOR ST,NR,BMT,40.641426,-74.017972,59th St,Brooklyn,NY,Kings County,11220
R212,C022,2 BDWY CUST SRV,NR,BMT,40.641426,-74.017972,59th St,Brooklyn,NY,Kings County,11220
R041,R201,WALL ST,45,IRT,40.704782,-74.014099,Broadway,New York,NY,New York County,10004
R041,R200A,8 AV,45,IRT,40.704782,-74.014099,Broadway,New York,NY,New York County,10004
R042,R202,CORTLANDT ST,45,IRT,40.704782,-74.014099,Broadway,New York,NY,New York County,10004
R233,C020,BROAD ST,R,BMT,40.644959,-74.014034,4th Ave,Brooklyn,NY,Kings County,11220
R304,R103,PATH WTC,1,IRT,40.70784,-74.013691,Greenwich St,New York,NY,New York County,10006
R304,R102,PATH WTC 2,1,IRT,40.70784,-74.013691,Greenwich St,New York,NY,New York County,10006
R227,A055,45 ST,R,BMT,40.707222,-74.013391,Trinity Pl,New York,NY,New York County,10006
R227,A054,WORLD TRADE CTR,R,BMT,40.707222,-74.013391,Trinity Pl,New York,NY,New York County,10006
R076,MCC07,CHAMBERS ST,45,IRT,40.704591,-74.013273,Beaver St,New York,NY,New York County,10004
